year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2000.0,7.9,260000.0,122.0,18.0,50.0,90.0,82822.56,6.0,74591008.15,60000000.0,109325230.22,47386287.0
2000.0,7.6,514000.0,101.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,7000000.0,44331874.3,34266564.0
2000.0,8.3,786000.0,102.0,15.0,50.0,80.0,82822.56,0.0,74591008.15,4500000.0,38930959.49,7390108.0
2000.0,8.4,1200000.0,113.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,9000000.0,101183527.7,40047078.0
2000.0,7.8,542000.0,143.0,18.0,70.0,100.0,149101.61,8.0,118734218.5,90000000.0,109325230.22,429632142.0
2000.0,6.2,238000.0,88.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,19000000.0,44331874.3,278019771.0
2000.0,6.4,160000.0,130.0,19.0,60.0,100.0,102137.26,8.0,87793911.98,140000000.0,145508580.85,328718434.0
2000.0,5.7,108000.0,100.0,17.0,40.0,80.0,30064.61,8.0,36815715.74,45000000.0,44331874.3,113916474.0
2000.0,7.4,582000.0,104.0,19.0,50.0,90.0,82822.56,8.0,74591008.15,75000000.0,145508580.85,296339528.0
2000.0,6.4,75000.0,130.0,19.0,80.0,100.0,236700.88,8.0,191060303.56,65000000.0,145508580.85,128884132.0
2000.0,7.2,260000.0,165.0,19.0,50.0,80.0,82822.56,6.0,74591008.15,110000000.0,145508580.85,215294342.0
2000.0,7.3,396000.0,106.0,15.0,50.0,90.0,82822.56,8.0,74591008.15,75000000.0,38930959.49,248118121.0
2000.0,5.6,179000.0,98.0,19.0,40.0,90.0,30064.61,8.0,36815715.74,93000000.0,145508580.85,264105545.0
2000.0,6.4,161000.0,93.0,17.0,40.0,80.0,30064.61,6.0,36815715.74,16000000.0,44331874.3,119754278.0
2000.0,6.7,228000.0,119.0,18.0,50.0,100.0,82822.56,6.0,74591008.15,50000000.0,109325230.22,144056873.0
2000.0,6.0,90000.0,98.0,17.0,40.0,100.0,30064.61,8.0,36815715.74,11000000.0,44331874.3,90449929.0
2000.0,6.1,322000.0,123.0,19.0,50.0,90.0,82822.56,8.0,74591008.15,125000000.0,145508580.85,546388108.0
2000.0,7.7,295000.0,107.0,18.0,70.0,100.0,149101.61,8.0,118734218.5,26000000.0,109325230.22,71870729.0
2000.0,5.9,118000.0,123.0,19.0,50.0,80.0,82822.56,8.0,74591008.15,82000000.0,145508580.85,96085477.0
2000.0,7.0,181000.0,84.0,13.0,40.0,80.0,30064.61,9.0,36815715.74,45000000.0,239229987.45,224834564.0
2000.0,6.4,97000.0,107.0,13.0,40.0,100.0,30064.61,6.0,36815715.74,33000000.0,39401196.17,104155843.0
2000.0,6.7,236000.0,98.0,16.0,40.0,80.0,30064.61,6.0,36815715.74,23000000.0,47372409.13,112880294.0
2000.0,7.6,199000.0,147.0,13.0,60.0,90.0,102137.26,6.0,87793911.98,48000000.0,39401196.17,207515725.0
2000.0,6.6,120000.0,130.0,15.0,70.0,90.0,149101.61,8.0,118734218.5,100000000.0,38930959.49,291420351.0
2000.0,7.4,187000.0,78.0,13.0,40.0,80.0,30064.61,9.0,36815715.74,100000000.0,239229987.45,169661687.0
2000.0,7.8,258000.0,120.0,19.0,60.0,90.0,102137.26,8.0,87793911.98,17000000.0,145508580.85,213525736.0
2000.0,6.5,265000.0,118.0,19.0,40.0,80.0,30064.61,8.0,36815715.74,90000000.0,145508580.85,237202299.0
2000.0,5.5,136000.0,83.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,13000000.0,44331874.3,73180723.0
2000.0,7.0,317000.0,108.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,55000000.0,44331874.3,330444045.0
2000.0,7.1,229000.0,109.0,19.0,50.0,90.0,82822.56,6.0,74591008.15,23000000.0,145508580.85,53187659.0
2000.0,5.8,126000.0,112.0,19.0,70.0,80.0,149101.61,6.0,118734218.5,95000000.0,145508580.85,190213455.0
2000.0,6.8,43000.0,108.0,15.0,40.0,80.0,30064.61,1.0,36815715.74,5000000.0,38930959.49,2554.0
2000.0,6.3,194000.0,109.0,19.0,40.0,90.0,30064.61,8.0,36815715.74,45000000.0,145508580.85,212742720.0
2000.0,7.5,172000.0,113.0,17.0,60.0,80.0,102137.26,6.0,87793911.98,30000000.0,44331874.3,47126295.0
2000.0,2.5,77000.0,118.0,19.0,40.0,90.0,30064.61,8.0,36815715.74,73000000.0,145508580.85,29725663.0
2000.0,5.6,126000.0,116.0,16.0,60.0,80.0,102137.26,6.0,87793911.98,40000000.0,47372409.13,161834276.0
2000.0,7.5,58000.0,90.0,17.0,50.0,80.0,82822.56,8.0,74591008.15,10000000.0,44331874.3,20789556.0
2000.0,6.7,114000.0,98.0,17.0,40.0,90.0,30064.61,6.0,36815715.74,41300000.0,44331874.3,106371651.0
2000.0,7.2,181000.0,121.0,15.0,60.0,90.0,102137.26,8.0,87793911.98,25000000.0,38930959.49,152699976.0
2000.0,7.7,129000.0,110.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,5000000.0,38930959.49,109283018.0
2000.0,8.1,228000.0,154.0,15.0,50.0,90.0,82822.56,6.0,74591008.15,2000000.0,38930959.49,20908467.0
2000.0,6.6,226000.0,116.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,51000000.0,44331874.3,149270999.0
2000.0,6.6,79000.0,116.0,19.0,40.0,90.0,30064.61,8.0,36815715.74,62000000.0,145508580.85,127666415.0
2000.0,6.0,99000.0,93.0,17.0,70.0,80.0,149101.61,8.0,118734218.5,48000000.0,44331874.3,90383208.0
2000.0,6.9,88000.0,89.0,13.0,40.0,80.0,30064.61,10.0,36815715.74,95000000.0,239229987.45,76432727.0
2000.0,6.5,56000.0,82.0,13.0,40.0,80.0,30064.61,10.0,36815715.74,127500000.0,239229987.45,349822765.0
2000.0,6.2,219000.0,104.0,17.0,70.0,90.0,149101.61,10.0,118734218.5,123000000.0,44331874.3,363597184.0
2000.0,8.0,105000.0,140.0,13.0,60.0,90.0,102137.26,6.0,87793911.98,12800000.0,39401196.17,40059672.0
2000.0,6.4,197000.0,127.0,17.0,50.0,80.0,82822.56,8.0,74591008.15,70000000.0,44331874.3,374111707.0
2000.0,6.7,65000.0,111.0,15.0,70.0,100.0,149101.61,6.0,118734218.5,10000000.0,38930959.49,44567606.0
2000.0,6.8,105000.0,125.0,17.0,50.0,80.0,82822.56,8.0,74591008.15,60000000.0,44331874.3,124745083.0
2000.0,5.7,71000.0,114.0,18.0,70.0,90.0,149101.61,10.0,118734218.5,100000000.0,109325230.22,110983407.0
2000.0,6.6,60000.0,118.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,50000000.0,44331874.3,50054511.0
2000.0,6.2,38000.0,98.0,17.0,40.0,90.0,30064.61,6.0,36815715.74,11000000.0,44331874.3,59827328.0
2000.0,6.5,23000.0,110.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,25000000.0,39401196.17,1308242.0
2000.0,5.3,101000.0,90.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,85000000.0,44331874.3,58292295.0
2000.0,7.0,51000.0,120.0,13.0,40.0,80.0,30064.61,6.0,36815715.74,7000000.0,39401196.17,28780255.0
2000.0,6.7,32000.0,120.0,17.0,40.0,100.0,30064.61,8.0,36815715.74,15000000.0,44331874.3,40863718.0
2000.0,7.3,103000.0,118.0,13.0,50.0,80.0,82822.56,8.0,74591008.15,31000000.0,39401196.17,68106245.0
2000.0,6.1,46000.0,103.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,43000000.0,44331874.3,62198945.0
2000.0,7.2,20000.0,124.0,15.0,40.0,80.0,30064.61,8.0,36815715.74,20000000.0,38930959.49,27728118.0
2000.0,6.6,122000.0,110.0,19.0,40.0,90.0,30064.61,8.0,36815715.74,55000000.0,145508580.85,99274467.0
2000.0,5.8,9800.0,95.0,18.0,50.0,80.0,82822.56,10.0,74591008.15,35000000.0,109325230.22,27965865.0
2000.0,7.2,114000.0,123.0,15.0,50.0,90.0,82822.56,8.0,74591008.15,40000000.0,38930959.49,55707411.0
2000.0,5.9,60000.0,124.0,19.0,50.0,60.0,82822.56,8.0,74591008.15,75000000.0,145508580.85,215663859.0
2000.0,3.7,22000.0,90.0,17.0,40.0,80.0,30064.61,10.0,36815715.74,83000000.0,44331874.3,59468275.0
2000.0,5.8,38000.0,104.0,19.0,60.0,90.0,102137.26,6.0,87793911.98,42000000.0,145508580.85,32168970.0
2000.0,4.9,33000.0,99.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,54000000.0,145508580.85,47053625.0
2000.0,4.9,36000.0,100.0,18.0,50.0,90.0,82822.56,9.0,74591008.15,85000000.0,109325230.22,183611771.0
2000.0,5.7,56000.0,106.0,19.0,40.0,80.0,30064.61,8.0,36815715.74,80000000.0,145508580.85,33463969.0
2000.0,3.7,32000.0,107.0,19.0,40.0,70.0,30064.61,8.0,36815715.74,45000000.0,145508580.85,33978694.0
2000.0,5.2,33000.0,102.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,63600000.0,145508580.85,19412993.0
