year,score,votes,budget,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,director_codif,writer_codif,director_mapped,votos_por_director,gross
2001.0,6.8,7000.0,250000.0,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,3179,6.0,32000.0,4677852.0
1995.0,5.4,2800.0,15000000.0,108.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,548,3763,4.0,3800.0,3674841.0
1987.0,2.6,7600.0,1000000.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,2604,4.0,3920.5,1576615.0
2016.0,6.3,26000.0,20000000.0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,2463,5.0,69033.33,46771565.0
1995.0,5.3,15000.0,46000000.0,135.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2427,3120,6.0,26683.33,10382407.0
2002.0,6.3,51000.0,70000000.0,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1012,2149,5.0,111333.33,32287044.0
1988.0,7.3,103000.0,35000000.0,126.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,1472,7.0,170375.0,57269863.0
1996.0,5.0,4600.0,17000000.0,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1139,5.0,9878.6,3325651.0
2001.0,6.6,9800.0,23000000.0,82.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,3304,4.0,9800.0,44460850.0
1994.0,5.4,66000.0,40000000.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,3137,4.0,51953.85,38087756.0
1997.0,5.6,40000.0,18000000.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,2761,5.0,117221.43,31480418.0
2003.0,6.5,61000.0,50000000.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,1827,6.0,200818.18,42792561.0
2014.0,6.2,220000.0,100000000.0,119.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861,1755,6.0,220000.0,103039258.0
1981.0,6.6,28000.0,16000000.0,109.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,3376,5.0,28635.71,17374595.0
2006.0,5.4,134000.0,33000000.0,105.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,2136,4.0,87166.67,62022014.0
2004.0,6.5,186000.0,40000000.0,96.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4014,5.0,102800.0,92913171.0
2016.0,5.9,55000.0,40000000.0,102.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,3406,6.0,101666.67,124608438.0
2005.0,7.4,57000.0,7000000.0,106.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,2271,7.0,57000.0,3601974.0
2010.0,6.5,126000.0,38000000.0,114.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1688,4.0,79100.0,105734416.0
2014.0,7.6,442000.0,68000000.0,134.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,930,6.0,255666.67,211822697.0
1995.0,6.5,14000.0,8000000.0,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,737,5.0,22333.33,340139.0
1999.0,6.8,15000.0,14000000.0,97.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,3227,5.0,42300.0,18542974.0
2013.0,5.6,85000.0,8000000.0,90.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,3970,5.0,143333.33,20045576.0
1991.0,7.6,118000.0,2000000.0,106.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78,595,6.0,290642.86,33616692.0
1991.0,5.8,54000.0,65000000.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,562,5.0,42100.0,17218080.0
2005.0,2.4,42000.0,20000000.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,1241,4.0,35800.0,12693645.0
1989.0,6.0,32000.0,17000000.0,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408,4082,4.0,23420.0,78247647.0
1992.0,5.0,2100.0,24000000.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,999,3618,4.0,5600.0,608866.0
1981.0,7.3,2700.0,13000000.0,119.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,517,5.0,30033.33,8206145.0
1996.0,5.4,14000.0,13000000.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,4464,4.0,14000.0,5781045.0
2015.0,5.2,49000.0,35000000.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,960,7.0,131600.0,51380201.0
2007.0,2.2,15000.0,7000000.0,93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,1137,5.0,15000.0,5713425.0
1987.0,6.4,2900.0,5000000.0,97.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,964,4.0,1685.0,1119112.0
1987.0,7.6,128000.0,30000000.0,93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,2142,6.0,142125.0,49530280.0
2006.0,6.5,217000.0,50000000.0,125.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,468,3713,6.0,140500.0,100605135.0
2003.0,5.7,16000.0,40000000.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,191,4.0,25371.43,26891849.0
1981.0,7.4,27000.0,5500000.0,123.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,1384,7.0,176727.27,11492915.0
